latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.01933,29.015692,36.0,10800,Europe/Istanbul,GMT+3
time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),weather_code (wmo code),temperature_2m_mean (°C),wind_speed_10m_max (km/h)
2019-06-18,1.50,1.50,0.00,3.0,53,25.0,23.7
2019-06-19,0.90,0.90,0.00,4.0,51,24.5,22.5
2019-06-20,0.00,0.00,0.00,0.0,3,24.4,13.6
2019-06-21,2.50,2.50,0.00,6.0,55,24.1,15.0
2019-06-22,0.00,0.00,0.00,0.0,3,25.6,21.3
2019-06-23,0.00,0.00,0.00,0.0,3,26.4,15.3
2019-06-24,0.00,0.00,0.00,0.0,2,26.6,21.9
2019-06-25,0.00,0.00,0.00,0.0,2,26.2,24.2
2019-06-26,0.00,0.00,0.00,0.0,2,26.1,29.8
2019-06-27,0.00,0.00,0.00,0.0,1,26.2,28.0
2019-06-28,1.10,1.10,0.00,5.0,53,24.2,29.8
2019-06-29,0.00,0.00,0.00,0.0,1,23.7,30.2
2019-06-30,0.20,0.20,0.00,2.0,51,22.0,27.3
2019-07-01,0.00,0.00,0.00,0.0,0,22.6,25.0
2019-07-02,0.00,0.00,0.00,0.0,0,24.0,26.3
2019-07-03,0.00,0.00,0.00,0.0,2,24.7,23.8
2019-07-04,0.00,0.00,0.00,0.0,2,25.1,25.0
2019-07-05,0.00,0.00,0.00,0.0,1,25.2,23.0
2019-07-06,0.10,0.10,0.00,1.0,51,24.4,21.1
2019-07-07,0.00,0.00,0.00,0.0,0,25.1,23.9
2019-07-08,0.00,0.00,0.00,0.0,2,25.5,19.4
2019-07-09,0.00,0.00,0.00,0.0,2,26.5,19.1
2019-07-10,2.00,2.00,0.00,2.0,61,23.9,22.6
2019-07-11,16.00,16.00,0.00,10.0,63,20.0,28.0
2019-07-12,0.30,0.30,0.00,2.0,51,20.6,14.3
2019-07-13,0.00,0.00,0.00,0.0,3,21.2,13.2
2019-07-14,2.00,2.00,0.00,7.0,51,19.9,15.9
2019-07-15,7.90,7.90,0.00,18.0,55,19.6,16.9
2019-07-16,0.00,0.00,0.00,0.0,3,21.0,22.2
2019-07-17,0.00,0.00,0.00,0.0,3,22.4,29.2
2019-07-18,0.00,0.00,0.00,0.0,2,22.8,19.3
2019-07-19,0.00,0.00,0.00,0.0,0,23.3,27.5
2019-07-20,0.00,0.00,0.00,0.0,1,23.7,29.2
2019-07-21,0.00,0.00,0.00,0.0,0,23.9,22.7
2019-07-22,0.00,0.00,0.00,0.0,1,24.1,24.2
2019-07-23,0.00,0.00,0.00,0.0,1,24.6,22.0
2019-07-24,7.30,7.30,0.00,11.0,63,22.0,22.0
2019-07-25,0.40,0.40,0.00,3.0,51,22.9,19.2
2019-07-26,0.00,0.00,0.00,0.0,1,23.3,21.5
2019-07-27,0.00,0.00,0.00,0.0,1,23.7,26.6
2019-07-28,0.00,0.00,0.00,0.0,2,24.4,24.0
2019-07-29,0.00,0.00,0.00,0.0,0,24.5,21.1
2019-07-30,0.00,0.00,0.00,0.0,1,25.0,15.7
2019-07-31,0.00,0.00,0.00,0.0,0,25.5,19.2
2019-08-01,0.00,0.00,0.00,0.0,1,26.0,24.0
2019-08-02,0.70,0.70,0.00,4.0,51,25.6,22.0
2019-08-03,0.00,0.00,0.00,0.0,0,26.0,14.6
2019-08-04,0.80,0.80,0.00,3.0,51,24.2,23.4
2019-08-05,0.00,0.00,0.00,0.0,1,23.0,23.7
2019-08-06,0.00,0.00,0.00,0.0,1,23.3,25.6
2019-08-07,0.00,0.00,0.00,0.0,0,24.0,26.0
2019-08-08,0.00,0.00,0.00,0.0,0,24.2,22.4
2019-08-09,0.00,0.00,0.00,0.0,0,24.4,26.4
2019-08-10,0.00,0.00,0.00,0.0,1,24.9,25.4
2019-08-11,0.00,0.00,0.00,0.0,0,25.1,33.4
2019-08-12,0.00,0.00,0.00,0.0,0,25.5,36.7
2019-08-13,0.00,0.00,0.00,0.0,1,25.5,35.1
2019-08-14,0.00,0.00,0.00,0.0,3,25.6,21.7
2019-08-15,0.30,0.30,0.00,3.0,51,25.0,21.7
2019-08-16,2.80,2.80,0.00,8.0,55,23.7,25.1
2019-08-17,30.90,30.90,0.00,15.0,63,20.9,22.6
2019-08-18,2.60,2.60,0.00,4.0,61,21.2,22.9
2019-08-19,0.00,0.00,0.00,0.0,2,21.1,23.4
2019-08-20,0.00,0.00,0.00,0.0,3,22.8,25.5
2019-08-21,8.50,8.50,0.00,9.0,63,23.2,25.7
2019-08-22,0.00,0.00,0.00,0.0,1,24.7,24.4
2019-08-23,0.00,0.00,0.00,0.0,2,24.9,30.7
2019-08-24,0.00,0.00,0.00,0.0,0,25.4,28.0
2019-08-25,0.00,0.00,0.00,0.0,1,25.6,29.7
2019-08-26,0.00,0.00,0.00,0.0,0,25.9,32.0
2019-08-27,0.00,0.00,0.00,0.0,1,25.8,30.1
2019-08-28,0.00,0.00,0.00,0.0,0,25.2,31.6
2019-08-29,0.00,0.00,0.00,0.0,1,24.4,29.1
2019-08-30,0.00,0.00,0.00,0.0,3,23.6,24.3
2019-08-31,0.00,0.00,0.00,0.0,3,23.0,24.5
2019-09-01,0.00,0.00,0.00,0.0,3,23.8,26.7
2019-09-02,0.00,0.00,0.00,0.0,3,24.1,28.9
2019-09-03,0.00,0.00,0.00,0.0,0,24.4,33.4
2019-09-04,0.00,0.00,0.00,0.0,0,24.3,29.9
2019-09-05,0.20,0.20,0.00,2.0,51,23.2,30.6
2019-09-06,0.00,0.00,0.00,0.0,3,22.5,26.7
2019-09-07,0.00,0.00,0.00,0.0,2,22.1,26.3
2019-09-08,0.40,0.40,0.00,3.0,51,22.6,30.0
2019-09-09,0.00,0.00,0.00,0.0,2,22.7,24.3
2019-09-10,1.20,1.20,0.00,3.0,53,22.1,32.1
2019-09-11,0.00,0.00,0.00,0.0,3,23.2,30.0
2019-09-12,0.10,0.10,0.00,1.0,51,22.4,26.1
2019-09-13,0.00,0.00,0.00,0.0,3,22.6,36.6
2019-09-14,0.00,0.00,0.00,0.0,1,22.8,30.7
2019-09-15,1.00,1.00,0.00,5.0,51,21.5,32.2
2019-09-16,0.00,0.00,0.00,0.0,3,20.6,21.3
2019-09-17,0.00,0.00,0.00,0.0,3,20.6,14.4
2019-09-18,0.00,0.00,0.00,0.0,0,22.3,15.7
2019-09-19,0.00,0.00,0.00,0.0,3,22.0,29.3
2019-09-20,7.80,7.80,0.00,13.0,61,18.5,26.3
2019-09-21,0.30,0.30,0.00,3.0,51,16.8,24.9
2019-09-22,0.00,0.00,0.00,0.0,2,15.9,19.6
2019-09-23,0.00,0.00,0.00,0.0,3,16.6,9.2
2019-09-24,4.40,4.40,0.00,5.0,55,19.1,20.2
2019-09-25,0.30,0.30,0.00,1.0,51,19.4,14.7
2019-09-26,0.00,0.00,0.00,0.0,3,19.6,10.8
2019-09-27,1.30,1.30,0.00,7.0,51,20.1,12.7
2019-09-28,0.00,0.00,0.00,0.0,3,19.0,18.9
2019-09-29,0.00,0.00,0.00,0.0,0,19.3,11.6
2019-09-30,0.00,0.00,0.00,0.0,0,20.1,9.5
2019-10-01,0.00,0.00,0.00,0.0,0,21.6,21.3
2019-10-02,0.00,0.00,0.00,0.0,3,21.5,19.0
2019-10-03,0.00,0.00,0.00,0.0,1,22.3,17.7
2019-10-04,0.00,0.00,0.00,0.0,3,24.4,23.2
2019-10-05,12.50,12.50,0.00,11.0,61,18.1,23.6
2019-10-06,13.20,13.20,0.00,7.0,63,15.9,27.4
2019-10-07,0.40,0.40,0.00,1.0,51,16.2,24.5
2019-10-08,15.40,15.40,0.00,19.0,61,15.3,31.5
2019-10-09,0.00,0.00,0.00,0.0,3,16.1,15.4
2019-10-10,0.00,0.00,0.00,0.0,1,16.5,17.0
2019-10-11,0.00,0.00,0.00,0.0,3,18.1,23.5
2019-10-12,0.00,0.00,0.00,0.0,1,17.9,21.5
2019-10-13,0.00,0.00,0.00,0.0,0,17.9,20.5
2019-10-14,0.00,0.00,0.00,0.0,2,18.1,18.9
2019-10-15,0.00,0.00,0.00,0.0,2,17.8,17.2
2019-10-16,0.00,0.00,0.00,0.0,3,18.4,17.7
2019-10-17,0.00,0.00,0.00,0.0,3,18.2,16.8
2019-10-18,0.00,0.00,0.00,0.0,3,18.2,10.2
2019-10-19,0.00,0.00,0.00,0.0,3,17.4,15.9
2019-10-20,0.00,0.00,0.00,0.0,3,17.1,17.6
2019-10-21,0.00,0.00,0.00,0.0,3,17.9,19.7
2019-10-22,0.20,0.20,0.00,2.0,51,17.5,23.2
2019-10-23,0.00,0.00,0.00,0.0,3,17.4,26.1
2019-10-24,0.00,0.00,0.00,0.0,3,17.1,20.4
2019-10-25,0.00,0.00,0.00,0.0,3,17.0,21.9
2019-10-26,0.00,0.00,0.00,0.0,3,16.4,18.7
2019-10-27,1.20,1.20,0.00,8.0,51,16.0,16.6
2019-10-28,0.00,0.00,0.00,0.0,3,16.0,15.7
2019-10-29,1.00,1.00,0.00,5.0,51,15.6,13.7
2019-10-30,0.00,0.00,0.00,0.0,3,14.7,15.1
2019-10-31,6.70,6.70,0.00,10.0,61,15.2,13.8
2019-11-01,10.20,10.20,0.00,20.0,61,12.8,32.0
2019-11-02,0.00,0.00,0.00,0.0,3,11.7,19.8
2019-11-03,0.00,0.00,0.00,0.0,3,12.6,15.9
2019-11-04,0.00,0.00,0.00,0.0,3,17.9,18.7
2019-11-05,2.10,2.10,0.00,7.0,51,18.9,27.0
2019-11-06,0.00,0.00,0.00,0.0,2,19.6,25.9
2019-11-07,0.00,0.00,0.00,0.0,3,18.3,16.8
2019-11-08,0.00,0.00,0.00,0.0,3,17.7,12.5
2019-11-09,0.00,0.00,0.00,0.0,2,17.5,11.3
2019-11-10,0.00,0.00,0.00,0.0,3,16.5,12.0
2019-11-11,0.00,0.00,0.00,0.0,3,17.7,13.0
2019-11-12,0.00,0.00,0.00,0.0,2,16.7,14.7
2019-11-13,0.00,0.00,0.00,0.0,3,18.3,22.8
2019-11-14,3.20,3.20,0.00,7.0,61,15.5,17.5
2019-11-15,0.00,0.00,0.00,0.0,3,15.8,10.1
2019-11-16,0.00,0.00,0.00,0.0,1,15.0,21.4
2019-11-17,0.00,0.00,0.00,0.0,3,15.8,17.9
2019-11-18,0.00,0.00,0.00,0.0,3,15.3,13.0
2019-11-19,0.00,0.00,0.00,0.0,2,15.3,14.6
2019-11-20,0.00,0.00,0.00,0.0,3,14.1,14.4
2019-11-21,0.00,0.00,0.00,0.0,3,13.5,20.8
2019-11-22,0.00,0.00,0.00,0.0,3,13.5,29.0
2019-11-23,3.10,3.10,0.00,10.0,53,13.4,13.4
2019-11-24,0.00,0.00,0.00,0.0,3,12.7,11.2
2019-11-25,0.80,0.80,0.00,3.0,51,13.5,16.5
2019-11-26,5.60,5.60,0.00,8.0,63,14.1,17.8
2019-11-27,1.60,1.60,0.00,5.0,53,11.3,28.1
2019-11-28,0.00,0.00,0.00,0.0,3,13.4,25.9
2019-11-29,17.30,17.30,0.00,11.0,63,15.2,30.7
2019-11-30,7.80,7.80,0.00,7.0,63,14.7,21.1
2019-12-01,2.00,2.00,0.00,13.0,51,9.2,32.5
2019-12-02,0.00,0.00,0.00,0.0,3,8.5,15.9
2019-12-03,1.80,1.80,0.00,8.0,53,9.6,21.8
2019-12-04,9.10,9.10,0.00,18.0,53,7.7,28.0
2019-12-05,0.00,0.00,0.00,0.0,3,7.5,25.5
2019-12-06,0.00,0.00,0.00,0.0,0,6.2,10.4
2019-12-07,0.20,0.20,0.00,2.0,51,7.3,15.3
2019-12-08,0.50,0.50,0.00,3.0,51,9.6,13.2
2019-12-09,0.00,0.00,0.00,0.0,3,7.3,10.2
2019-12-10,0.00,0.00,0.00,0.0,0,7.9,13.6
2019-12-11,2.60,2.60,0.00,5.0,61,8.0,20.4
2019-12-12,2.10,2.10,0.00,7.0,55,9.8,14.3
2019-12-13,3.50,3.50,0.00,3.0,61,10.7,13.7
2019-12-14,2.20,2.20,0.00,2.0,61,12.0,19.6
2019-12-15,1.70,1.70,0.00,5.0,53,10.3,15.2
2019-12-16,0.00,0.00,0.00,0.0,0,7.8,12.2
2019-12-17,0.00,0.00,0.00,0.0,1,9.1,12.9
2019-12-18,0.00,0.00,0.00,0.0,0,11.5,18.3
2019-12-19,0.00,0.00,0.00,0.0,3,11.3,12.8
2019-12-20,0.00,0.00,0.00,0.0,3,10.2,20.5
2019-12-21,0.60,0.60,0.00,2.0,51,14.2,36.7
2019-12-22,0.10,0.10,0.00,1.0,51,16.0,39.5
2019-12-23,2.30,2.30,0.00,9.0,53,14.1,33.0
2019-12-24,7.40,7.40,0.00,17.0,61,9.8,25.9
2019-12-25,3.10,3.10,0.00,10.0,55,8.7,16.9
2019-12-26,11.90,11.90,0.00,17.0,61,7.8,24.1
2019-12-27,1.40,1.40,0.00,4.0,53,6.5,17.0
2019-12-28,2.30,2.30,0.00,6.0,55,5.1,22.7
2019-12-29,5.30,5.30,0.00,19.0,53,5.4,25.5
2019-12-30,7.10,7.10,0.00,14.0,53,7.3,42.5
2019-12-31,7.30,7.30,0.00,13.0,53,6.5,34.6
2020-01-01,2.80,2.80,0.00,12.0,53,5.2,28.5
2020-01-02,4.90,4.90,0.00,24.0,53,5.3,27.4
2020-01-03,0.10,0.10,0.00,1.0,51,5.2,17.5
2020-01-04,0.00,0.00,0.00,0.0,3,5.3,10.8
2020-01-05,4.20,4.20,0.00,10.0,53,6.0,19.0
2020-01-06,36.90,36.90,0.00,24.0,63,6.7,43.2
2020-01-07,30.70,30.70,0.00,24.0,61,5.9,47.2
2020-01-08,5.70,5.70,0.00,16.0,53,4.8,37.4
2020-01-09,0.10,0.10,0.00,1.0,51,4.7,23.2
2020-01-10,0.00,0.00,0.00,0.0,3,4.4,7.8
2020-01-11,0.00,0.00,0.00,0.0,3,5.9,10.2
2020-01-12,1.60,1.60,0.00,7.0,51,7.1,19.3
2020-01-13,0.30,0.30,0.00,3.0,51,6.8,15.0
2020-01-14,0.00,0.00,0.00,0.0,3,5.5,9.2
2020-01-15,0.00,0.00,0.00,0.0,3,6.5,18.7
2020-01-16,0.00,0.00,0.00,0.0,3,7.9,25.5
2020-01-17,0.00,0.00,0.00,0.0,3,6.9,30.5
2020-01-18,0.00,0.00,0.00,0.0,3,6.8,25.0
2020-01-19,0.90,0.90,0.00,8.0,51,5.5,20.4
2020-01-20,3.90,3.90,0.00,16.0,53,5.0,33.9
2020-01-21,0.10,0.10,0.00,1.0,51,3.5,20.7
2020-01-22,0.00,0.00,0.00,0.0,3,4.2,17.4
2020-01-23,0.20,0.20,0.00,2.0,51,5.4,31.2
2020-01-24,0.00,0.00,0.00,0.0,3,4.3,14.0
2020-01-25,0.00,0.00,0.00,0.0,1,6.6,22.2
2020-01-26,0.00,0.00,0.00,0.0,3,9.2,21.7
2020-01-27,1.00,1.00,0.00,3.0,51,9.5,13.8
2020-01-28,7.30,7.30,0.00,13.0,61,8.6,25.1
2020-01-29,7.30,7.30,0.00,7.0,63,10.3,34.1
2020-01-30,13.20,13.20,0.00,12.0,63,6.4,19.1
2020-01-31,0.00,0.00,0.00,0.0,3,5.5,28.1
2020-02-01,1.00,1.00,0.00,6.0,51,9.5,28.6
2020-02-02,0.00,0.00,0.00,0.0,2,10.8,22.0
2020-02-03,0.90,0.90,0.00,3.0,51,11.8,31.4
2020-02-04,2.10,2.10,0.00,7.0,53,12.0,29.5
2020-02-05,23.10,23.10,0.00,14.0,63,12.7,31.3
2020-02-06,4.00,4.00,0.00,17.0,51,5.5,41.7
2020-02-07,3.10,3.10,0.00,11.0,53,3.8,21.5
2020-02-08,2.20,0.20,1.40,10.0,73,0.5,31.0
2020-02-09,0.00,0.00,0.00,0.0,3,0.8,13.8
2020-02-10,0.00,0.00,0.00,0.0,3,4.5,27.1
2020-02-11,2.20,2.20,0.00,5.0,55,9.7,33.2
2020-02-12,7.50,7.50,0.00,7.0,63,7.8,24.9
2020-02-13,0.10,0.10,0.00,1.0,51,7.4,18.7
2020-02-14,0.00,0.00,0.00,0.0,3,6.4,20.4
2020-02-15,3.00,3.00,0.00,11.0,53,8.0,24.6
2020-02-16,0.00,0.00,0.00,0.0,3,7.4,26.4
2020-02-17,0.00,0.00,0.00,0.0,3,6.2,19.8
2020-02-18,0.00,0.00,0.00,0.0,1,5.9,13.4
2020-02-19,0.00,0.00,0.00,0.0,3,7.5,13.7
2020-02-20,5.20,5.20,0.00,12.0,53,7.4,19.2
2020-02-21,4.70,4.70,0.00,16.0,53,6.7,28.3
2020-02-22,0.00,0.00,0.00,0.0,3,6.1,27.8
2020-02-23,0.00,0.00,0.00,0.0,3,5.7,16.2
2020-02-24,0.50,0.50,0.00,3.0,51,8.4,29.1
2020-02-25,0.00,0.00,0.00,0.0,3,7.3,15.9
2020-02-26,0.00,0.00,0.00,0.0,3,12.2,36.5
2020-02-27,7.80,7.80,0.00,5.0,63,14.1,43.3
2020-02-28,1.80,1.80,0.00,3.0,53,9.0,23.6
2020-02-29,7.70,7.70,0.00,19.0,55,7.7,28.6
2020-03-01,0.00,0.00,0.00,0.0,3,6.5,8.8
2020-03-02,0.00,0.00,0.00,0.0,3,9.1,23.4
2020-03-03,0.00,0.00,0.00,0.0,2,13.5,22.8
2020-03-04,0.00,0.00,0.00,0.0,3,13.8,13.8
2020-03-05,8.10,8.10,0.00,8.0,61,12.3,11.3
2020-03-06,12.90,12.90,0.00,11.0,63,10.4,15.5
2020-03-07,0.00,0.00,0.00,0.0,3,13.1,22.4
2020-03-08,0.00,0.00,0.00,0.0,3,14.8,11.7
2020-03-09,0.00,0.00,0.00,0.0,3,13.8,24.0
2020-03-10,10.70,10.70,0.00,21.0,61,9.8,23.5
2020-03-11,0.20,0.20,0.00,1.0,51,11.1,11.3
2020-03-12,0.00,0.00,0.00,0.0,0,11.5,20.5
2020-03-13,0.00,0.00,0.00,0.0,0,10.5,23.0
2020-03-14,0.00,0.00,0.00,0.0,3,9.5,22.8
2020-03-15,8.30,8.30,0.00,13.0,55,8.1,33.1
2020-03-16,1.30,1.30,0.00,5.0,51,6.0,35.1
2020-03-17,0.00,0.00,0.00,0.0,3,5.5,19.5
2020-03-18,0.30,0.30,0.00,3.0,51,4.6,27.9
2020-03-19,0.80,0.80,0.00,4.0,51,6.6,33.1
2020-03-20,0.00,0.00,0.00,0.0,3,6.7,15.3
2020-03-21,0.00,0.00,0.00,0.0,3,8.0,8.9
2020-03-22,0.00,0.00,0.00,0.0,3,9.5,25.7
2020-03-23,0.70,0.70,0.00,4.0,51,9.0,24.7
2020-03-24,1.40,1.40,0.00,14.0,51,8.0,31.1
2020-03-25,0.10,0.10,0.00,1.0,51,7.6,28.3
2020-03-26,0.00,0.00,0.00,0.0,3,8.7,35.9
2020-03-27,0.00,0.00,0.00,0.0,3,9.0,22.3
2020-03-28,5.70,5.70,0.00,13.0,53,8.3,16.3
2020-03-29,24.80,24.80,0.00,24.0,61,9.0,22.3
2020-03-30,0.00,0.00,0.00,0.0,3,10.3,19.9
2020-03-31,0.20,0.20,0.00,2.0,51,8.5,36.4
2020-04-01,0.20,0.20,0.00,2.0,51,7.8,26.7
2020-04-02,21.30,21.30,0.00,9.0,63,8.1,33.3
2020-04-03,5.40,5.40,0.00,11.0,61,7.2,19.8
2020-04-04,6.80,6.80,0.00,14.0,55,8.1,29.4
2020-04-05,13.00,13.00,0.00,23.0,61,9.3,45.5
2020-04-06,4.70,4.70,0.00,12.0,61,9.3,45.2
2020-04-07,0.00,0.00,0.00,0.0,1,9.1,47.9
2020-04-08,0.00,0.00,0.00,0.0,3,9.0,34.1
2020-04-09,0.00,0.00,0.00,0.0,3,8.6,22.1
2020-04-10,0.00,0.00,0.00,0.0,3,9.3,9.0
2020-04-11,0.00,0.00,0.00,0.0,3,10.7,20.0
2020-04-12,0.00,0.00,0.00,0.0,2,10.0,23.7
2020-04-13,0.00,0.00,0.00,0.0,3,9.8,14.1
2020-04-14,0.00,0.00,0.00,0.0,3,14.2,23.4
2020-04-15,5.50,5.50,0.00,12.0,53,9.7,33.3
2020-04-16,0.00,0.00,0.00,0.0,3,9.0,22.7
2020-04-17,0.00,0.00,0.00,0.0,3,9.9,10.7
2020-04-18,0.00,0.00,0.00,0.0,3,13.0,15.0
2020-04-19,0.00,0.00,0.00,0.0,3,15.2,11.4
2020-04-20,0.00,0.00,0.00,0.0,3,12.6,33.1
2020-04-21,2.50,2.50,0.00,8.0,53,10.2,24.8
2020-04-22,0.00,0.00,0.00,0.0,3,10.1,32.7
2020-04-23,0.00,0.00,0.00,0.0,3,9.5,27.8
2020-04-24,0.00,0.00,0.00,0.0,2,10.1,29.0
2020-04-25,0.00,0.00,0.00,0.0,3,9.4,13.0
2020-04-26,0.00,0.00,0.00,0.0,3,13.3,20.6
2020-04-27,0.00,0.00,0.00,0.0,2,14.1,20.8
2020-04-28,0.00,0.00,0.00,0.0,1,14.8,17.5
2020-04-29,0.00,0.00,0.00,0.0,3,16.2,11.9
2020-04-30,0.00,0.00,0.00,0.0,3,16.6,16.9
2020-05-01,0.00,0.00,0.00,0.0,3,16.4,16.1
2020-05-02,0.00,0.00,0.00,0.0,3,17.3,16.8
2020-05-03,3.70,3.70,0.00,10.0,55,16.2,12.7
2020-05-04,17.90,17.90,0.00,24.0,61,13.6,15.7
2020-05-05,4.00,4.00,0.00,14.0,53,14.3,19.7
2020-05-06,0.40,0.40,0.00,2.0,51,15.7,23.8
2020-05-07,6.70,6.70,0.00,8.0,61,12.3,26.0
2020-05-08,0.80,0.80,0.00,3.0,51,13.7,19.6
2020-05-09,0.00,0.00,0.00,0.0,3,14.6,11.3
2020-05-10,0.00,0.00,0.00,0.0,3,16.2,9.8
2020-05-11,0.00,0.00,0.00,0.0,3,18.9,11.7
2020-05-12,0.00,0.00,0.00,0.0,3,21.2,29.8
2020-05-13,0.00,0.00,0.00,0.0,1,17.0,26.2
2020-05-14,0.00,0.00,0.00,0.0,3,16.8,16.0
2020-05-15,0.00,0.00,0.00,0.0,3,21.4,19.7
2020-05-16,0.00,0.00,0.00,0.0,3,22.1,22.5
2020-05-17,0.00,0.00,0.00,0.0,3,21.7,17.5
2020-05-18,0.00,0.00,0.00,0.0,3,19.6,30.3
2020-05-19,0.00,0.00,0.00,0.0,3,20.7,24.7
2020-05-20,0.00,0.00,0.00,0.0,3,20.8,20.8
2020-05-21,0.60,0.60,0.00,5.0,51,17.7,29.1
2020-05-22,12.30,12.30,0.00,13.0,63,13.8,36.4
2020-05-23,3.60,3.60,0.00,7.0,61,12.6,24.1
2020-05-24,0.00,0.00,0.00,0.0,3,13.6,11.0
2020-05-25,0.90,0.90,0.00,8.0,51,14.7,20.2
2020-05-26,0.00,0.00,0.00,0.0,3,15.3,21.6
2020-05-27,7.50,7.50,0.00,12.0,61,13.8,26.5
2020-05-28,6.20,6.20,0.00,15.0,63,14.4,11.5
2020-05-29,3.90,3.90,0.00,10.0,53,15.0,18.1
2020-05-30,0.10,0.10,0.00,1.0,51,16.6,17.8
2020-05-31,0.00,0.00,0.00,0.0,1,17.8,16.3
2020-06-01,3.20,3.20,0.00,12.0,55,16.3,16.4
2020-06-02,3.60,3.60,0.00,4.0,63,16.4,13.2
2020-06-03,4.00,4.00,0.00,5.0,63,15.8,8.9
2020-06-04,0.30,0.30,0.00,3.0,51,17.7,18.7
2020-06-05,0.00,0.00,0.00,0.0,3,20.7,17.6
2020-06-06,0.00,0.00,0.00,0.0,3,22.9,18.1
2020-06-07,0.00,0.00,0.00,0.0,1,21.2,19.4
2020-06-08,0.00,0.00,0.00,0.0,3,21.2,14.2
2020-06-09,0.00,0.00,0.00,0.0,3,23.2,15.0
2020-06-10,0.00,0.00,0.00,0.0,2,23.1,18.6
2020-06-11,0.00,0.00,0.00,0.0,3,21.6,22.0
2020-06-12,1.20,1.20,0.00,2.0,55,21.2,20.7
2020-06-13,6.60,6.60,0.00,9.0,55,20.6,17.6
2020-06-14,13.50,13.50,0.00,12.0,63,20.6,21.1
2020-06-15,5.90,5.90,0.00,8.0,61,21.6,22.4
2020-06-16,0.00,0.00,0.00,0.0,3,22.7,17.9
2020-06-17,0.00,0.00,0.00,0.0,1,23.1,14.4
2020-06-18,9.20,9.20,0.00,9.0,63,21.0,13.0
2020-06-19,13.90,13.90,0.00,13.0,63,20.7,17.8
2020-06-20,1.80,1.80,0.00,5.0,53,22.8,18.9
2020-06-21,0.00,0.00,0.00,0.0,3,23.2,18.7
2020-06-22,1.20,1.20,0.00,2.0,55,22.1,15.0
2020-06-23,13.10,13.10,0.00,8.0,65,22.1,10.2
2020-06-24,17.80,17.80,0.00,16.0,63,21.7,19.2
2020-06-25,0.50,0.50,0.00,5.0,51,22.5,19.7
2020-06-26,0.70,0.70,0.00,5.0,51,22.6,29.1
2020-06-27,0.00,0.00,0.00,0.0,1,22.9,25.5
2020-06-28,0.00,0.00,0.00,0.0,0,23.1,22.7
2020-06-29,0.00,0.00,0.00,0.0,3,23.2,18.1
2020-06-30,0.00,0.00,0.00,0.0,3,23.9,11.2
2020-07-01,0.00,0.00,0.00,0.0,1,25.4,17.8
2020-07-02,0.00,0.00,0.00,0.0,3,25.3,25.3
2020-07-03,0.00,0.00,0.00,0.0,3,25.3,22.7
2020-07-04,0.00,0.00,0.00,0.0,3,25.4,22.4
2020-07-05,0.00,0.00,0.00,0.0,2,25.6,25.9
2020-07-06,0.00,0.00,0.00,0.0,3,26.4,24.6
2020-07-07,0.00,0.00,0.00,0.0,3,26.0,19.6
2020-07-08,1.30,1.30,0.00,4.0,53,23.1,35.6
2020-07-09,0.00,0.00,0.00,0.0,3,23.2,30.3
2020-07-10,0.00,0.00,0.00,0.0,3,23.1,31.1
2020-07-11,0.00,0.00,0.00,0.0,2,24.3,30.3
2020-07-12,0.00,0.00,0.00,0.0,2,24.2,26.0
2020-07-13,1.40,1.40,0.00,7.0,51,21.3,33.4
2020-07-14,0.00,0.00,0.00,0.0,3,21.9,29.1
2020-07-15,0.00,0.00,0.00,0.0,3,20.6,23.7
2020-07-16,0.00,0.00,0.00,0.0,3,21.6,20.9
2020-07-17,0.00,0.00,0.00,0.0,2,21.9,27.6
2020-07-18,0.00,0.00,0.00,0.0,1,23.5,26.2
2020-07-19,0.00,0.00,0.00,0.0,3,24.2,23.5
2020-07-20,0.00,0.00,0.00,0.0,3,24.1,18.8
2020-07-21,0.00,0.00,0.00,0.0,1,23.5,22.5
2020-07-22,0.00,0.00,0.00,0.0,1,24.2,26.6
2020-07-23,0.00,0.00,0.00,0.0,0,25.1,31.5
2020-07-24,0.00,0.00,0.00,0.0,0,24.8,33.6
2020-07-25,0.00,0.00,0.00,0.0,1,24.3,27.5
2020-07-26,0.00,0.00,0.00,0.0,1,24.7,22.3
2020-07-27,0.00,0.00,0.00,0.0,3,24.7,22.1
2020-07-28,0.00,0.00,0.00,0.0,3,25.2,22.2
2020-07-29,0.00,0.00,0.00,0.0,0,26.0,23.6
2020-07-30,0.00,0.00,0.00,0.0,0,25.7,24.6
2020-07-31,0.00,0.00,0.00,0.0,1,25.6,22.4
2020-08-01,0.00,0.00,0.00,0.0,2,25.1,25.1
2020-08-02,0.00,0.00,0.00,0.0,2,24.6,29.0
2020-08-03,0.00,0.00,0.00,0.0,1,24.0,27.2
2020-08-04,0.00,0.00,0.00,0.0,1,24.7,26.8
2020-08-05,0.00,0.00,0.00,0.0,1,24.5,25.5
2020-08-06,0.00,0.00,0.00,0.0,1,25.2,27.8
2020-08-07,0.00,0.00,0.00,0.0,0,26.2,26.0
2020-08-08,0.00,0.00,0.00,0.0,2,26.4,31.9
2020-08-09,0.00,0.00,0.00,0.0,3,26.3,35.3
